Strain,Stress,Strain Rate,Temperature
1.17E-04,11.131,1,700
1.98E-04,11.495,1,700
2.11E-04,11.509,1,700
4.59E-05,11.517,1,700
9.76E-05,11.609,1,700
2.58E-04,12.282,1,700
2.73E-04,12.378,1,700
2.38E-04,11.638,1,700
2.60E-04,11.32,1,700
2.77E-04,13.761,1,700
7.92E-04,18.669,1,700
0.00133,22.57,1,700
0.00171,26.365,1,700
0.00184,29.682,1,700
0.00189,32.566,1,700
0.00189,39.052,1,700
0.0027,52.382,1,700
0.00335,65.576,1,700
0.00449,80.64,1,700
0.00514,93.982,1,700
0.00565,109.29,1,700
0.00663,125.8,1,700
0.00751,142.41,1,700
0.00848,161.6,1,700
0.00989,181.93,1,700
0.01075,202.86,1,700
0.01173,224.29,1,700
0.0127,245.8,1,700
0.01419,267.62,1,700
0.01474,287.11,1,700
0.01636,305.1,1,700
0.01754,321.51,1,700
0.01866,336.85,1,700
0.01983,351.91,1,700
0.02189,364.54,1,700
0.0229,378.08,1,700
0.02486,389.6,1,700
0.0262,399.26,1,700
0.02746,403.18,1,700
0.02842,405.32,1,700
0.02966,406.7,1,700
0.02984,407.86,1,700
0.03108,407.6,1,700
0.03126,408.05,1,700
0.03207,409.73,1,700
0.03302,412.94,1,700
0.03445,416.29,1,700
0.03488,420.15,1,700
0.03709,423.94,1,700
0.03866,428.33,1,700
0.04066,432.04,1,700
0.04368,439.17,1,700
0.04763,440.37,1,700
0.04989,444.33,1,700
0.05385,444.46,1,700
0.05666,443.2,1,700
0.05903,441.53,1,700
0.06131,439.78,1,700
0.06386,438.2,1,700
0.06481,435.04,1,700
0.0668,432.15,1,700
0.06794,430.76,1,700
0.06893,429.9,1,700
0.06999,429.56,1,700
0.07174,428.58,1,700
0.07222,430.76,1,700
0.07412,431.99,1,700
0.07543,432.51,1,700
0.07694,433.22,1,700
0.07868,434.08,1,700
0.08093,435.3,1,700
0.08235,434.53,1,700
0.08463,433.7,1,700
0.08625,433.31,1,700
0.08793,433.19,1,700
0.08965,432.72,1,700
0.09175,431.26,1,700
0.09266,431.69,1,700
0.09445,430.74,1,700
0.09583,429.73,1,700
0.09714,429.59,1,700
0.09874,429.43,1,700
0.10085,429.74,1,700
0.10171,428.84,1,700
0.1035,428.27,1,700
0.10503,429.15,1,700
0.10654,430.08,1,700
0.10825,430.46,1,700
0.11056,429.46,1,700
0.11172,429.77,1,700
0.11343,429.43,1,700
0.1152,428.82,1,700
0.11674,428.63,1,700
0.11834,428.51,1,700
0.12052,428.6,1,700
0.12185,427.98,1,700
0.12343,427.61,1,700
0.1252,427.85,1,700
0.12685,428.23,1,700
0.12867,428.38,1,700
0.13077,427.4,1,700
0.13207,427.37,1,700
0.1336,426.91,1,700
0.13528,425.93,1,700
0.13689,425.56,1,700
0.13855,425.34,1,700
0.14043,425.51,1,700
0.14175,424.92,1,700
0.14326,424.32,1,700
0.14502,424.58,1,700
0.14667,424.82,1,700
0.14845,424.57,1,700
0.15052,423.58,1,700
0.15179,423.41,1,700
0.15311,423.5,1,700
0.15486,423.29,1,700
0.15633,423.37,1,700
0.15805,423.23,1,700
0.16008,423.17,1,700
0.16159,422.92,1,700
0.16304,422.77,1,700
0.16503,423.01,1,700
0.16676,423.22,1,700
0.16842,423.01,1,700
0.17053,422.04,1,700
0.17224,421.96,1,700
0.17334,422.43,1,700
0.17511,422.02,1,700
0.17691,421.56,1,700
0.17851,420.88,1,700
0.18035,420.4,1,700
0.18201,419.78,1,700
0.18337,419.23,1,700
0.18503,419.56,1,700
0.1866,419.86,1,700
0.18825,419.77,1,700
0.19006,419.16,1,700
0.19186,418.75,1,700
0.19316,419.07,1,700
0.19485,418.65,1,700
0.19641,418.34,1,700
0.19816,417.83,1,700
0.19993,417.58,1,700
0.20148,417.34,1,700
0.20297,416.93,1,700
0.20481,417.31,1,700
0.2063,417.65,1,700
0.20789,417.74,1,700
0.20987,417.22,1,700
0.21183,416.86,1,700
0.21321,417.37,1,700
0.21493,416.86,1,700
0.21672,416.26,1,700
0.21825,415.56,1,700
0.21993,414.98,1,700
0.22184,414.95,1,700
0.22302,414.75,1,700
0.22464,414.99,1,700
0.22645,414.95,1,700
0.22784,414.44,1,700
0.22955,413.85,1,700
0.23169,413.58,1,700
0.23307,414.81,1,700
0.23474,414.69,1,700
0.23636,413.88,1,700
0.23804,412.99,1,700
0.23954,412.47,1,700
0.24123,412.07,1,700
0.24286,411.72,1,700
0.24442,411.71,1,700
0.24605,411.42,1,700
0.24768,411.25,1,700
0.24923,411,1,700
0.25108,411.03,1,700
0.25257,412.03,1,700
0.25437,411.83,1,700
0.25601,411.48,1,700
0.25754,411.09,1,700
0.25935,410.53,1,700
0.26096,410.29,1,700
0.26261,410.14,1,700
0.2644,410.05,1,700
0.26628,409.63,1,700
0.26756,409.33,1,700
0.26914,409.04,1,700
0.27086,409.4,1,700
0.27253,409.23,1,700
0.27393,408.82,1,700
0.27577,408.34,1,700
0.27731,407.68,1,700
0.27874,407.81,1,700
0.28059,407.88,1,700
0.28234,408.08,1,700
0.28396,408.36,1,700
0.2855,407.99,1,700
0.28741,407.65,1,700
0.28916,407.48,1,700
0.2906,407.48,1,700
0.2926,407.36,1,700
0.29416,406.55,1,700
0.29547,406.08,1,700
0.29721,405.85,1,700
0.2991,405.71,1,700
0.30052,405.72,1,700
0.30202,405.46,1,700
0.30397,404.7,1,700
0.30535,404.64,1,700
0.30671,404.28,1,700
0.3084,404.18,1,700
0.31028,404.4,1,700
0.31202,404.59,1,700
0.31377,404.87,1,700
0.31551,404.65,1,700
0.31704,404.83,1,700
0.31882,405.1,1,700
0.32063,405.26,1,700
0.3225,405.06,1,700
0.32399,404.6,1,700
0.32572,403.87,1,700
0.32728,403.48,1,700
0.32894,403.25,1,700
0.3308,403.03,1,700
0.33269,402.55,1,700
0.33396,401.99,1,700
0.33542,401.29,1,700
0.33716,400.88,1,700
0.3387,400.52,1,700
0.34012,400.35,1,700
0.34216,399.65,1,700
0.34349,398.92,1,700
0.34482,398.48,1,700
0.3464,398.31,1,700
0.34825,398.5,1,700
0.34967,398.8,1,700
0.35139,398.63,1,700
0.3529,398.57,1,700
0.3544,398.52,1,700
0.35601,398.84,1,700
0.35795,398.93,1,700
0.35971,398.97,1,700
0.36134,398.85,1,700
0.36296,398.77,1,700
0.36471,398.77,1,700
0.36637,398.63,1,700
0.36824,398.45,1,700
0.37,398.1,1,700
0.37149,397.84,1,700
0.37313,397.26,1,700
0.37492,396.41,1,700
0.37664,396.07,1,700
0.37821,395.79,1,700
0.3798,395.49,1,700
0.38148,395.12,1,700
0.38285,394.7,1,700
0.38444,394.6,1,700
0.38633,394.56,1,700
0.3879,394.72,1,700
0.38952,394.78,1,700
0.39102,394.45,1,700
0.39251,394.14,1,700
0.3941,394.03,1,700
0.39595,394.12,1,700
0.39793,393.97,1,700
0.39965,393.45,1,700
0.40121,392.81,1,700
0.40269,392.42,1,700
0.40434,392.11,1,700
0.40593,391.77,1,700
0.40767,391.32,1,700
0.40926,390.85,1,700
0.4106,390.55,1,700
0.41209,390.46,1,700
0.41383,390.53,1,700
0.41541,390.75,1,700
0.41709,390.75,1,700
0.41884,390.54,1,700
0.4204,390.36,1,700
0.42187,390.25,1,700
0.42372,390.17,1,700
0.4256,390.24,1,700
0.42718,390.36,1,700
0.42885,390.24,1,700
