Strain,Stress,Strain Rate,Temperature
2.57E-03,8.17455,0.001,250
0.00264,8.36326,0.001,250
0.0027,8.55198,0.001,250
0.00277,8.74069,0.001,250
0.00283,8.92941,0.001,250
0.0029,9.11812,0.001,250
0.00297,9.30684,0.001,250
0.00303,9.49556,0.001,250
0.0031,9.68427,0.001,250
0.00317,9.87299,0.001,250
0.00323,10.0617,0.001,250
0.0033,10.25042,0.001,250
0.00337,10.43914,0.001,250
0.00343,10.62785,0.001,250
0.0035,10.81657,0.001,250
0.00357,11.00528,0.001,250
0.00363,11.194,0.001,250
0.0037,11.38271,0.001,250
0.00377,11.57143,0.001,250
0.00383,11.76015,0.001,250
0.0039,11.94886,0.001,250
0.00396,12.13758,0.001,250
0.00403,12.32629,0.001,250
0.0041,12.51501,0.001,250
0.00416,12.70372,0.001,250
0.00422,12.89244,0.001,250
0.00428,13.08116,0.001,250
0.00435,13.26987,0.001,250
0.00441,13.45859,0.001,250
0.00447,13.6473,0.001,250
0.00454,13.83602,0.001,250
0.0046,14.02473,0.001,250
0.00466,14.21345,0.001,250
0.00472,14.40217,0.001,250
0.00479,14.59088,0.001,250
0.00485,14.7796,0.001,250
0.00491,14.96831,0.001,250
0.00497,15.15703,0.001,250
0.00504,15.34575,0.001,250
0.0051,15.53446,0.001,250
0.00516,15.72318,0.001,250
0.00523,15.91189,0.001,250
0.00529,16.10061,0.001,250
0.00535,16.28932,0.001,250
0.00541,16.47804,0.001,250
0.00547,16.66676,0.001,250
0.00553,16.85547,0.001,250
0.00559,17.04419,0.001,250
0.00565,17.2329,0.001,250
0.00571,17.42162,0.001,250
0.00577,17.61033,0.001,250
0.00583,17.79905,0.001,250
0.00589,17.98777,0.001,250
0.00595,18.17648,0.001,250
0.00601,18.3652,0.001,250
0.00606,18.55391,0.001,250
0.00612,18.74263,0.001,250
0.00618,18.93134,0.001,250
0.00624,19.12006,0.001,250
0.0063,19.30878,0.001,250
0.00636,19.49749,0.001,250
0.00642,19.68621,0.001,250
0.00648,19.87492,0.001,250
0.00654,20.06364,0.001,250
0.00659,20.25235,0.001,250
0.00665,20.44107,0.001,250
0.0067,20.62979,0.001,250
0.00676,20.8185,0.001,250
0.00681,21.00722,0.001,250
0.00687,21.19593,0.001,250
