Strain,Stress,Strain Rate,Temperature
0.00672,5.64889,0.01,250
0.00687,5.77165,0.01,250
0.00697,5.89244,0.01,250
0.00713,6.01126,0.01,250
0.0072,6.12811,0.01,250
0.00727,6.24298,0.01,250
0.00725,6.35588,0.01,250
0.00759,6.46681,0.01,250
0.00767,6.57576,0.01,250
0.00772,6.68274,0.01,250
0.00777,6.78775,0.01,250
0.00786,6.89079,0.01,250
0.00797,6.99186,0.01,250
0.00811,7.09095,0.01,250
0.00814,7.18807,0.01,250
0.00826,7.28322,0.01,250
0.00833,7.37639,0.01,250
0.00846,7.46759,0.01,250
0.00849,7.55683,0.01,250
0.00863,7.64408,0.01,250
0.00877,7.72937,0.01,250
0.00884,7.81268,0.01,250
0.00897,7.89402,0.01,250
0.00922,7.97339,0.01,250
0.00914,8.05078,0.01,250
0.00933,8.12621,0.01,250
0.00931,8.19966,0.01,250
0.00946,8.27113,0.01,250
0.00966,8.34064,0.01,250
0.00967,8.40817,0.01,250
0.00984,8.47373,0.01,250
0.00987,8.53732,0.01,250
0.00994,8.59976,0.01,250
0.01011,8.65945,0.01,250
0.01,8.71598,0.01,250
0.01029,8.76991,0.01,250
0.01051,8.82098,0.01,250
0.01043,8.86949,0.01,250
0.01053,8.91528,0.01,250
0.0106,8.95938,0.01,250
0.01079,8.99999,0.01,250
0.01084,9.03949,0.01,250
0.01094,9.07591,0.01,250
0.01108,9.11135,0.01,250
0.01124,9.14417,0.01,250
0.01132,9.17609,0.01,250
0.01149,9.20577,0.01,250
0.01147,9.23503,0.01,250
0.01165,9.26208,0.01,250
0.01159,9.28872,0.01,250
0.01177,9.31385,0.01,250
0.01196,9.33908,0.01,250
0.01206,9.36309,0.01,250
0.01214,9.38767,0.01,250
0.01199,9.41145,0.01,250
0.01224,9.43614,0.01,250
0.01245,9.46052,0.01,250
0.01254,9.48627,0.01,250
0.01249,9.51253,0.01,250
0.01268,9.54079,0.01,250
0.01278,9.56997,0.01,250
0.01294,9.60124,0.01,250
0.01305,9.63457,0.01,250
0.01304,9.67016,0.01,250
0.01316,9.70761,0.01,250
0.01331,9.74738,0.01,250
0.0135,9.78924,0.01,250
0.01354,9.83279,0.01,250
0.01364,9.8785,0.01,250
0.01375,9.92599,0.01,250
0.01377,9.97608,0.01,250
0.01395,10.02817,0.01,250
0.01403,10.08261,0.01,250
0.01407,10.13866,0.01,250
0.01428,10.19758,0.01,250
0.01436,10.25826,0.01,250
0.01445,10.32183,0.01,250
0.01445,10.38724,0.01,250
0.01451,10.45565,0.01,250
0.01473,10.52523,0.01,250
0.01466,10.59809,0.01,250
0.01482,10.67219,0.01,250
0.01494,10.74922,0.01,250
0.01513,10.82753,0.01,250
0.01527,10.90812,0.01,250
0.01523,10.98955,0.01,250
0.0153,11.07263,0.01,250
0.01559,11.15665,0.01,250
0.01568,11.24201,0.01,250
0.01568,11.32858,0.01,250
0.01586,11.41605,0.01,250
0.01596,11.50447,0.01,250
0.01602,11.59355,0.01,250
0.01625,11.68337,0.01,250
0.01624,11.7737,0.01,250
0.01632,11.86498,0.01,250
0.01644,11.95645,0.01,250
0.01658,12.04884,0.01,250
0.01653,12.1407,0.01,250
0.0168,12.23337,0.01,250
0.01688,12.32555,0.01,250
0.01688,12.41918,0.01,250
0.01706,12.51183,0.01,250
0.01718,12.60591,0.01,250
0.01727,12.69878,0.01,250
0.01731,12.79293,0.01,250
0.01729,12.88628,0.01,250
0.0175,12.98094,0.01,250
0.01757,13.07497,0.01,250
0.01779,13.17051,0.01,250
0.01787,13.26483,0.01,250
0.01792,13.36022,0.01,250
0.01798,13.45507,0.01,250
0.0181,13.55132,0.01,250
0.01823,13.64657,0.01,250
0.01832,13.74321,0.01,250
0.01836,13.83894,0.01,250
0.01851,13.93575,0.01,250
0.01872,14.03211,0.01,250
0.01861,14.1298,0.01,250
0.01876,14.22742,0.01,250
0.0188,14.32612,0.01,250
0.01901,14.42387,0.01,250
0.01904,14.52231,0.01,250
0.01907,14.62083,0.01,250
0.01923,14.7197,0.01,250
0.01944,14.81845,0.01,250
0.01954,14.91765,0.01,250
0.01967,15.01655,0.01,250
0.01963,15.1155,0.01,250
0.01977,15.21473,0.01,250
0.0199,15.31418,0.01,250
0.02005,15.41419,0.01,250
0.02024,15.51394,0.01,250
0.02029,15.61371,0.01,250
0.02036,15.71335,0.01,250
0.02041,15.81366,0.01,250
0.02053,15.91374,0.01,250
0.02067,16.01427,0.01,250
0.02067,16.11448,0.01,250
0.02077,16.21509,0.01,250
0.02092,16.31485,0.01,250
0.021,16.41514,0.01,250
0.02106,16.51447,0.01,250
0.02116,16.6145,0.01,250
0.02117,16.71401,0.01,250
0.02137,16.81404,0.01,250
0.0215,16.91365,0.01,250
0.0216,17.01384,0.01,250
0.02164,17.11409,0.01,250
0.02186,17.21451,0.01,250
0.02194,17.31533,0.01,250
0.02192,17.41563,0.01,250
0.02204,17.51605,0.01,250
0.02217,17.61604,0.01,250
0.02221,17.7165,0.01,250
0.02227,17.81665,0.01,250
0.02251,17.9178,0.01,250
0.02259,18.01839,0.01,250
0.02267,18.11985,0.01,250
0.02289,18.22065,0.01,250
0.02287,18.32253,0.01,250
0.02295,18.4236,0.01,250
0.02303,18.52593,0.01,250
0.02327,18.62662,0.01,250
0.02338,18.72891,0.01,250
0.02343,18.82985,0.01,250
0.02336,18.93248,0.01,250
0.02343,19.03391,0.01,250
0.02358,19.13729,0.01,250
0.02377,19.2395,0.01,250
0.02397,19.34335,0.01,250
0.02399,19.44563,0.01,250
0.02403,19.54944,0.01,250
0.02418,19.65205,0.01,250
0.02435,19.75586,0.01,250
0.02449,19.85785,0.01,250
0.0246,19.96098,0.01,250
0.02469,20.06256,0.01,250
0.02466,20.16549,0.01,250
0.02481,20.26749,0.01,250
0.02478,20.37102,0.01,250
0.02495,20.47367,0.01,250
0.02506,20.57765,0.01,250
0.0252,20.68092,0.01,250
0.02524,20.78582,0.01,250
0.02534,20.89052,0.01,250
0.02548,20.99622,0.01,250
0.02538,21.10116,0.01,250
0.02562,21.20671,0.01,250
0.02582,21.31151,0.01,250
0.02584,21.41679,0.01,250
0.02602,21.52143,0.01,250
0.02601,21.62675,0.01,250
0.02613,21.73154,0.01,250
0.02639,21.83683,0.01,250
0.02642,21.94191,0.01,250
0.02655,22.04747,0.01,250
0.02656,22.15316,0.01,250
0.02675,22.25922,0.01,250
0.0269,22.36514,0.01,250
0.02695,22.47097,0.01,250
0.027,22.57643,0.01,250
0.02707,22.68149,0.01,250
0.02731,22.78685,0.01,250
0.02729,22.89224,0.01,250
0.02742,22.9981,0.01,250
0.0275,23.10357,0.01,250
0.02751,23.20919,0.01,250
0.0276,23.31421,0.01,250
0.02779,23.42013,0.01,250
0.02798,23.5254,0.01,250
0.02795,23.63153,0.01,250
0.02815,23.7369,0.01,250
0.0282,23.84313,0.01,250
0.02841,23.94864,0.01,250
0.02836,24.0557,0.01,250
0.02861,24.162,0.01,250
0.02853,24.26947,0.01,250
0.02864,24.37599,0.01,250
0.02886,24.48341,0.01,250
0.02887,24.58932,0.01,250
0.02901,24.69655,0.01,250
0.02915,24.80193,0.01,250
0.02927,24.9095,0.01,250
0.02945,25.01542,0.01,250
0.02945,25.12329,0.01,250
0.02953,25.22974,0.01,250
0.02967,25.3388,0.01,250
0.02968,25.44652,0.01,250
0.02987,25.55716,0.01,250
0.02981,25.6666,0.01,250
0.02987,25.77858,0.01,250
0.03011,25.88874,0.01,250
0.03024,26.00175,0.01,250
0.03033,26.11302,0.01,250
0.03038,26.22804,0.01,250
0.03047,26.34081,0.01,250
0.03072,26.45683,0.01,250
0.03077,26.57152,0.01,250
0.03088,26.68958,0.01,250
0.03088,26.80592,0.01,250
0.03103,26.92603,0.01,250
0.03112,27.04361,0.01,250
0.03124,27.16462,0.01,250
0.03126,27.28306,0.01,250
0.03146,27.40453,0.01,250
0.03161,27.52289,0.01,250
0.03162,27.64494,0.01,250
0.03173,27.76297,0.01,250
0.03177,27.88516,0.01,250
0.03188,28.00382,0.01,250
0.03201,28.12648,0.01,250
0.03206,28.24528,0.01,250
0.03201,28.3691,0.01,250
0.03216,28.4888,0.01,250
0.03249,28.61358,0.01,250
0.03242,28.73382,0.01,250
0.03261,28.85854,0.01,250
0.03264,28.97831,0.01,250
0.03296,29.10351,0.01,250
0.03308,29.22298,0.01,250
0.03302,29.34834,0.01,250
0.03308,29.46745,0.01,250
0.03338,29.59299,0.01,250
0.03342,29.71232,0.01,250
0.03325,29.83898,0.01,250
0.03361,29.95918,0.01,250
0.03374,30.08641,0.01,250
0.03372,30.20678,0.01,250
0.03385,30.33466,0.01,250
0.03385,30.45596,0.01,250
0.03407,30.58517,0.01,250
0.03417,30.70712,0.01,250
0.03426,30.83697,0.01,250
0.03422,30.95957,0.01,250
0.03434,31.08946,0.01,250
0.0344,31.21213,0.01,250
0.03475,31.34211,0.01,250
0.03476,31.46476,0.01,250
